event_id,supply_security_impact,procurement_cost_impact,investment_opportunity_impact,geopolitical_risk_impact,catl_exposure,impact_level,impact_summary
105e8d8ce5ef,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
26867c6bfdf2,高,高,低,低,Finniss / lithium,高,相关区域事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
9857085f1cf5,低,低,高,低,Chile / lithium,高,SQM completes Codelco lithium merger after Chile court rejects appeal - Mining.com可能改变优质资源竞争格局，建议判断是否需要进入优先接触或跟踪清单。
dd9b51da30e7,低,低,高,低,Chile / lithium,高,"Chile takes a historic step: NovaAndino Litio, the Codelco-SQM joint venture for lithium development in the Atacama Salt Flat, is made a reality - Codelco可能改变优质资源竞争格局，建议判断是否需要进入优先接触或跟踪清单。"
e2d29e69e338,低,低,高,低,Chile / lithium,高,China approves key joint venture for lithium production in Chile - upi.com可能改变优质资源竞争格局，建议判断是否需要进入优先接触或跟踪清单。
1d961d191b5f,低,低,高,低,Brazil / lithium,高,Pilbara Minerals completes acquisition of Latin Resources and Brazilian lithium project | ASX:LRS - Proactive financial news可能改变优质资源竞争格局，建议判断是否需要进入优先接触或跟踪清单。
5da52faeba60,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
3bb82d3ea56e,低,低,高,低,Argentina / lithium,高,Lithium Argentina and Ganfeng to Form New Joint Venture - Panorama Minero可能改变优质资源竞争格局，建议判断是否需要进入优先接触或跟踪清单。
f881ce6060f8,低,低,高,低,Argentina / lithium,高,Lithium Argentina-Ganfeng Lithium joint venture to boost lithium production - Mining Technology可能改变优质资源竞争格局，建议判断是否需要进入优先接触或跟踪清单。
dafb3f19c082,低,低,高,低,Chile / lithium,高,Chile regulator greenlights Codelco-SQM lithium joint venture - Reuters可能改变优质资源竞争格局，建议判断是否需要进入优先接触或跟踪清单。
4e3d18aff985,中,低,高,低,Argentina / brine,高,Argentina项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
7398151071e2,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
7ff9cdf873e8,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
8926bbb0f988,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
5d74861431f9,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
d47f0fe76280,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
fb14d32c3778,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
0cf9180562da,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
71ef4af6ee51,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
fac2b8c02ac7,中,低,高,低,Argentina / lithium,高,Argentina项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
274ef237016b,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
e293682e7a74,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
b372cba4cdb5,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
2cbec1f22f97,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
c8d2ca55bb8a,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
3805aafe751d,中,低,高,低,Argentina / lithium,高,Argentina项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
558dc6207eab,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
396d1c1268f1,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
7a9e52e8274f,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
32a8486313d1,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
af5ba69bab28,低,低,低,低,Argentina / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
bfd494428cd5,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
abf1de90f74f,低,低,低,低,China / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
b2abd6132e28,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
5145ebf5474a,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
aa9ecba55537,中,中,中,中,Argentina / brine,高,Argentina政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
abbb70ebf31e,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
a1439d8a5873,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
f9efaaff3c72,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
e3982925a956,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
f48a91bf393d,中,中,中,中,Chile / lithium,高,Chile政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
a527dbbda96c,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
03d2c40714e3,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
0344d17096d1,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
145d98efdff0,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
d5272f4cd2d8,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
0cdb13716b35,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
55059821fea7,中,中,中,中,Argentina / lithium,高,Argentina政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
4bba71529841,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
402fc777d340,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
79013ed34e41,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
c9f2cdfd4242,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
49c2984afe24,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
736f591c6464,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
d1f532601727,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
f5c7197dbbac,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
fa8bc3901ad4,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
24fa0cea82fe,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
9760959f732f,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
51a4d371c3c2,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
29c1fd3b7db8,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
64e621f54fb7,低,低,低,低,China / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
8f30e0b4d200,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
dfbee8b31c48,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
52d5eb50b3a0,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
4ce5dc737697,低,低,低,低,Ghana / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
94203ff84798,低,低,低,中,United States / Rincon / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
12de09b0c7aa,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
65b25c33f7f6,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
3768193bf612,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
bfdb1b5867f2,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
9478ec8dd740,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
6dcf6f21e1be,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
31288832cc54,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
eba70d7bd4d8,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
be61b153c6aa,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
31174e7b4ce3,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
2dd433e44eb8,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
814f44302b28,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
fa137399a9dc,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
fde70e93ba8c,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
0d696bab356b,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
607c3de18c83,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
331c5d37e08b,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
9404f7eac290,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
484011b40dee,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
141362c6cc67,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
22b074e50dc3,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
8a6ceda20d08,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
46c113d709e5,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
4f041d8f1ca5,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
90797a4067ba,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
599a1f63c40a,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
a5e879d46ab0,高,高,低,低,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
cd7c2f7616d8,低,低,低,低,China / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
6ac7f6e82c64,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
edc23e0c4327,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
881e8d4b8650,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
c576fd450509,低,低,低,低,Argentina / Cauchari-Olaroz / brine,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
3520e9f14c74,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
3ca9f50a7bcb,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
b28aae379a02,低,低,低,低,Argentina / Cauchari-Olaroz / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
ddc80072e584,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
eef1ec7553d3,低,低,低,低,Argentina / Cauchari-Olaroz / brine,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
8dc13aa2cac4,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
09e879651e8f,中,低,高,低,Argentina / Cauchari-Olaroz / brine,高,Argentina项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
1ce79b55064a,中,低,高,中,United States / spodumene,高,United States项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
6b367fdaa730,中,低,高,中,Australia,高,Australia项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
5735d14967da,中,低,高,中,Australia,高,Australia项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
6570d800e71e,低,低,低,低,Chile / spodumene,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
a8a23847c5db,中,中,中,中,Chile / lithium,高,Chile政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
bf2fc1c2121a,中,中,中,中,Chile / lithium,高,Chile政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
627a769d225f,中,中,中,中,Chile / lithium,高,Chile政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
378dee1087a7,中,中,中,中,Chile / lithium,高,Chile政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
f61219b4265c,中,中,中,中,Chile / lithium,高,Chile政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
ffcfd1b57d0a,中,中,中,中,Chile / lithium,高,Chile政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
aded4b0cecf6,中,中,中,中,Canada / lithium,高,Canada政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
16cf6f0253f7,中,中,中,中,Zimbabwe / lithium,高,Zimbabwe政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
cf733ad12311,中,中,中,中,China / lithium,高,China政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
8b2d9f7f89a4,中,中,中,中,Argentina / lithium,高,Argentina政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
10f894479768,中,中,中,中,Zimbabwe / spodumene,高,Zimbabwe政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
a225523244e3,中,中,中,中,Argentina / lithium,高,Argentina政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
0b1440728f29,中,中,中,中,China / lithium,高,China政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
11c443cf6c6e,中,中,中,中,China / lithium,高,China政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
591a51a0f3f6,中,中,中,中,Canada / brine,高,Canada政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
7f6e960b72ae,中,中,中,中,China / lithium,高,China政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
0d785bf79f4d,中,中,中,中,Australia / lithium,高,Australia政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
866d1a509adb,中,高,中,中,Australia / spodumene,高,该事件对供给安全为中、采购成本为高、投资机会为中、地缘风险为中，建议纳入周度跟踪。
dc7c22065b35,低,低,低,中,United States / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
8a258438c6b7,低,低,低,中,United States / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
3f6323905ae5,低,低,低,中,United States / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
18cb02b4bbb2,低,低,低,中,United States / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
91672d1bc48a,低,低,低,中,United States / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
be4391794ac6,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
187c7fbb608d,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
c8ac1a682833,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
4dba5cb3f0b8,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
d5a873b87edb,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
0d20329e8b5d,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
2a9f147c5ce9,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
ae2a3e109d22,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
c1b11e916e6c,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
01208a5dd9cd,低,低,低,低,Chile / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
941189de2c58,低,低,低,低,Chile / brine,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
9533224f1be5,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
