title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Special Act on National Resource Security,"<div>The Special Act on National Resource Security, promulgated on 6 February 2024 and effective from 7 February 2025, establishes comprehensive measures to prepare for and respond to resource security crises by implementing early warning systems, managing supply and demand of core resources and establishing crisis response mechanisms. Â <br><br>The law creates a new framework for resource security governance through several key mechanisms:<br><br></div><ul><li>Establishes a Resource Security Council chaired by the Minister of Trade, Industry and Energy to coordinate policies</li><li>Implements an early warning system to monitor and respond to resource security threats</li><li>Requires stockpiling of core resources by designated organisations</li><li>Authorises emergency measures during crisis situations, including price controls and supply allocation</li><li>Creates a comprehensive information management system for resource-related data</li><li>Mandates preparation of crisis response manuals and regular training exercises</li><li>Promotes international cooperation, research and development and human resource development in resource security</li><li>Designates key supply and demand organisations that must comply with special obligations</li></ul><div>Resource security has become increasingly important for national security and economic stability. This law addresses growing concerns about supply chain vulnerabilities and the need to secure stable access to critical resources including energy sources, minerals and materials essential for renewable energy technologies. This legislation strengthens South Korea's resource security by establishing systematic crisis prevention and response capabilities. It enables coordinated government action during resource emergencies while promoting long-term resource security through stockpiling requirements, supply chain diversification and development of alternative materials. The law provides legal basis for government intervention in resource markets during crises, potentially affecting business operations but enhancing overall national resource security.Â </div>",In force,2025,National,International Energy Agency,,,https://www.law.go.kr/LSW//lsInfoP.do?lsiSeq=259657&chrClsCd=010202&urlMode=lsInfoP&efYd=20250207&ancYnChk=#0000,,1745854580466,"[{""iso3"":""KOR"",""name"":""Korea""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Prescriptive"",""name"":""Stockpiling mechanisms"",""category"":null},{""topic"":""Critical Minerals"",""family"":""General legal framework"",""name"":""Strategic plans"",""category"":null}]"
Announcement No. 10 of 2025 of the Ministry of Commerce,"<div>The Ministry of Commerce's Announcement No. 10 of 2025 establishes export controls for specific categories of tungsten, tin, antimony, molybdenum, and germanium materials and their related technologies. The controls are implemented in accordance with China's Export Control Law, Foreign Trade Law, Customs Law, and Dual-Use Items Export Control Regulations to safeguard national security and interests while fulfilling international obligations.<br><br>For tungsten-related items, the controls cover specific alloys, carbides, and materials with defined technical parameters, including density requirements and elastic modulus specifications. Tin-related controls encompass metal compounds and crystalline forms. Antimony controls include metals, oxides, and specified compounds. Molybdenum controls focus on alloys used in semiconductor manufacturing with precise dimensional requirements. Germanium controls apply to specific oxide and compound forms.Â <br><br>Exporters must apply for permits through relevant customs authorities in accordance with these regulations. The controls affect manufacturers and traders dealing with these materials, particularly those in high-tech industries such as semiconductors and electronics manufacturing. The measures took effect upon publication and align with updates to China's export control regime.<br><br>Key technical specifications include:</div><ul><li>Tungsten materials with density greater than 17.5 g/cmÂ³</li><li>Molybdenum alloys containing more than 97% molybdenum by weight</li><li>Crystalline tin compounds with specific customs codes</li><li>Antimony metals and compounds in various forms</li><li>Germanium oxides meeting designated specifications</li></ul><div>The regulations include detailed customs codes and technical parameters for each controlled item, along with requirements for associated technical documentation and manufacturing processes.</div>",In force,2025,National,International Energy Agency,,,https://www.mofcom.gov.cn/zfxxgk/gkml/art/2025/art_084ded0609404b2d81c746b31c9a03a6.html,,1745855538471,"[{""iso3"":""CHN"",""name"":""People's Republic of China""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Trade"",""name"":""Non-tariff measures"",""category"":""Critical minerals""}]"
Federal funding for regional collaboration on domestic critical minerals,"<div>The U.S. Department of Energy's Office of Fossil Energy and Carbon Management announced a USD 45 million funding programme in January 2025 to establish regional consortia for developing domestic critical mineral supply chains. This programme aims to establish diverse domestic supply chains for critical minerals by utilising abundant American secondary sources. The initiative emphasises workforce development, community engagement, and regional economic growth while supporting the transition to clean energy technologies. Through coordinated regional efforts, the programme seeks to transform underutilised resources into valuable materials for American manufacturing and defence applications.<br><br></div><div>The CORE-CM Initiative funds six university-led regional consortia to characterise, analyse, and develop critical mineral resources from unconventional sources such as coal by-products, acid mine drainage, and industrial waste streams. Each consortium brings together state geological surveys, universities, private industry, and local communities to identify and prioritise resource development opportunities within their regions.<br><br>The total DOE funding across all projects is $45 million, with additional non-DOE funding bringing the combined total value to USD 57,469,393. The grantees are as follows:</div><ul><li>Northwest Region CORE-CM Project - University of Alaska Fairbanks Total Value: USD 9,375,001 (DOE: USD 7,500,000, Non-DOE: USD 1,875,001) Working with three state geological surveys to perform data collection and analysis of underexplored mineral deposits across 22% of the United States.</li><li>Upper Midwest &amp; Illinois Basin Initiative - University of Illinois Urbana-Champaign Total Value: USD 9,386,784 (DOE: USD 7,500,000, Non-DOE: USD 1,886,784) Focusing on characterising critical minerals from coal and coal wastes across six states through extensive sampling and geochemical analysis.</li><li>Gulf Coast and Permian Basin Project - University of Texas at Austin Total Value: USD 9,374,999 (DOE: USD 7,499,999, Non-DOE: USD 1,875,000) Assessing critical mineral potential in petroleum industry waste, produced water, coal ash and other industrial by-products while developing technology innovation centres.</li><li>Rocky Mountain Region Assessment - University of Utah Total Value: USD 9,598,204 (DOE: USD 7,500,000, Non-DOE: USD 2,098,204) Evaluating regional carbon and critical mineral resources from coal-related materials while developing plans for business commercialisation and workforce readiness.</li><li>Great Plains Initiative - University of Wyoming Total Value: USD 10,176,484 (DOE: USD 7,500,000, Non-DOE: USD 2,676,484) Developing domestic supply chains using secondary and unconventional critical mineral resources across ten states and four basins.</li><li>Expand Appalachia Project - Virginia Polytechnic Institute and State University Total Value: USD 9,557,921 (DOE: USD 7,500,000, Non-DOE: USD 2,057,921) Leading a consortium to accelerate the characterisation of critical minerals for potential future extraction in the Appalachian Mountain region.</li></ul>",In force,2025,National,International Energy Agency,,,https://www.energy.gov/fecm/funding-notice-regional-scale-collaboration-facilitate-domestic-critical-minerals-future,,1745591482821,"[{""iso3"":""USA"",""name"":""United States""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Innovation funds"",""category"":null}]"
Malaysia Carbon Tax,"<div>Malaysiaâs Minister of Finance has announced that Malaysia will start imposing a carbon tax on the iron, steel and energy sectors starting in 2026.</div>",Announced,2026,National,International Energy Agency,2024-10-25,,https://www.bharian.com.my/rencana/lain-lain/2024/03/1225263/pertimbang-laksana-cukai-karbon-demi-kelestarian-alam-ekonomi,,1741715828357,"[{""iso3"":""MYS"",""name"":""Malaysia""}]",[],[],[],"[{""topic"":""Industry"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
National Critical Mineral Mission,"<div>India has launched a 'National Critical Mineral Mission' from FY 2024-25 to FY 2030-31 to secure the supply of critical minerals and strengthen Indiaâs critical mineralsâ value chains. The Government has earmarked an expenditure of INR 16,300 crore (approx. USD 1.9 billion) and expects investment of Rs.18,000 crore (approx. USD 2 billion) by public sector undertakings during the 7-year period.<br><br></div><div>The NCMM encompasses all stages of the value chain, including mineral exploration, mining, beneficiation, processing, and recovery from end-of-life products.Â <br><br></div><div><strong>Exploration</strong>:Â  The NCMM sets a target of completing 1 200 domestic exploration projects by 2030-2031, with an aim of ensuring domestic production of at least 15 critical minerals (such as graphite, lithium, potash, REEs). The NCMM also aims for Indian companies to acquire 50 mining assets worldwide. To achieve these targets, it seeks to create a fast-track regulatory approval process for mining projects.<br><br></div><div><strong>Recycling</strong>: The NCMM sets up an Incentive Scheme for mineral recycling with a budget of INR 1 500 crore (USD 170 million), with a target of recovering 400 kilotonnes (kt) of recycled material. The Government has since approved the disbursement of these funds towards the Incentive Scheme over a 6-year tenure until FY 2030-31. The Scheme is expected to incentivise the development of 270 kt of recycling capacity annually, resulting in 40 kt of annual critical mineral production. Eligible feedstock under the Scheme includes e-waste, Lithium Ion Battery scrap, and other scrap such as catalytic convertors in end-of-life vehicles.<br><br></div><div><strong>Stockpiling</strong>: The NCMM foresees the creating of a National Critical Minerals Stockpile comprising at least 5 critical minerals to mitigate the risks from global supply chain disruptions.<br><br></div><div><strong>Research</strong>: The NCMM seeks to promote research in critical mineral technologies with a target of achieving self-sufficiency in processing at least 5 critical minerals and generating 1 000 patents across the critical mineral value chains by 2031. It also proposes setting up 4 regional mineral processing parks and 3 Centres of Excellence on Critical Minerals.<br><br></div><div><strong>Governance</strong>: The NCMM envisages the formation of an Empowered Committee on Critical Minerals that would coordinate and implement the initiatives under the NCMM. One of the concurrent activities listed in the NCMM is the development of a traceability system for critical minerals that will offer transparent information on critical mineralsâ composition and related information in products.Â </div>",In force,2025,National,International Energy Agency,2025-01-29,,https://mines.gov.in/admin/download/679a0e7c614611738149500.pdf,,1776098619731,"[{""iso3"":""IND"",""name"":""India""}]",[],[],"[""Minerals Recycling""]","[{""topic"":""Critical Minerals"",""family"":""General legal framework"",""name"":""Strategic plans"",""category"":""Minerals recycling""},{""topic"":""Critical Minerals"",""family"":""Performance-based"",""name"":""Minerals Recycling"",""category"":null},{""topic"":""Critical Minerals"",""family"":""General legal framework"",""name"":""Strategic plans"",""category"":null}]"
Updated Nationally Determined Contribution ,"<div>Pursuant to its updated Nationally Determined Contribution (âNDCâ) under the Paris Agreement, the UK has committed to reduce all GHG emissions by at least 81% by 2035, compared to 1990 levels (excluding international aviation and shipping emissions). The NDC covers the following GHGs: carbon dioxide, methane, nitrogen oxide, hydrofluorocarbons, perfluorocarbons, sulphur hexafluoride, and nitrogen trifluoride. Â <br><br>Â In relation to reduction in methane emissions, the NDC notes the following initiatives:</div><ul><li>Decarbonisation measures under the North Sea Transition Authorityâs 2024 OGA Plan, such as ending routine flaring and venting by 2030 and platform electrification.Â </li><li>Achievement of the Oil and Gas Climate Initiativeâs methane intensity target of below 0.2% for 2025.</li><li>Announcement to provide GBP 5 million to help developing countries tackle methane emissions in their fossil fuel sectors (as part of efforts under the Global Methane Pledge).</li><li>Sharing knowledge and technical expertise from the UKâs oil and gas decarbonisation (as part of efforts under the Global Methane Pledge).</li></ul>",In force,2025,National,International Energy Agency,2025-01-30,,https://unfccc.int/sites/default/files/2025-01/UK%27s%202035%20NDC%20ICTU.pdf,,1745593088523,"[{""iso3"":""GBR"",""name"":""United Kingdom""}]",[],[],"[""Methane tracker""]","[{""topic"":""Methane abatement"",""family"":""Performance-based"",""name"":""Reduction targets"",""category"":""Oil and natural gas extraction""},{""topic"":""Methane abatement"",""family"":""Performance-based"",""name"":""Reduction targets"",""category"":""Coal and lignite mining""}]"
Updated Nationally Determined Contribution ,"<div>Pursuant to its updated Nationally Determined Contribution (âNDCâ) under the Paris Agreement, Canada has committed to reduce emissions by 45-50% below 2005 levels by 2035, building on the 2030 target of 40-45% below 2005 levels. Canada also aims to achieve net-zero by 2050. The NDC covers the following GHGs: carbon dioxide, methane, nitrous oxide, perfluorocarbons, hydrofluorocarbons, sulphur hexafluoride, and nitrogen trifluoride.</div><div>In relation to reduction in methane emissions, the NDC highlights the following initiatives undertaken by Canada:</div><ul><li>Membership in the Global Methane Pledge, which aims to reduce global methane emissions by at least 30% from 2020 levels by 2030.Â </li><li>Founding of the Climate and Clean Air Coalition, which works to reduce emissions of short-lived climate pollutants that cause significant near-term climate change, such as methane.</li><li>Policies and measures to reduce pollution from the oil and gas sector, including the Methane Regulations, the Clean Fuel Regulations, and a proposed cap-and-trade system applied to upstream oil and gas activities.Â </li><li>Release of the Methane Strategy in September 2022, with the objective of reducing domestic methane emissions by more than 35% by 2030, and a commitment of 75% reduction in methane emissions from the oil and gas sector from 2012 levels by 2030.</li><li>Development of research and a regulatory framework to nearly eliminate all methane emissions (including those from coal, wood waste, oil and gas, and forestry) by 2035.</li><li>Funding of methane detection and monitoring on a national scale and collaboration with provinces and territories to enhance the measurement and monitoring of methane emissions to improve inventories, target tracking and further policy development.</li><li>Collaboration on an integrated, national methane detection and quantification programme leveraging data collected through industry reporting requirements.Â </li></ul>",In force,2025,National,International Energy Agency,12-02-2025,2035,https://unfccc.int/sites/default/files/2025-02/Canada%27s%202035%20Nationally%20Determined%20Contribution_ENc.pdf,,1770891660136,"[{""iso3"":""CAN"",""name"":""Canada""}]",[],[],"[""Methane tracker""]","[{""topic"":""Economy-wide"",""family"":""General legal framework"",""name"":""Nationally Determined Contributions"",""category"":null},{""topic"":""Methane abatement"",""family"":""Performance-based"",""name"":""Reduction targets"",""category"":""Oil and natural gas extraction""},{""topic"":""Methane abatement"",""family"":""Performance-based"",""name"":""Reduction targets"",""category"":""Coal and lignite mining""}]"
Resolution 67/2025 - GBA Storage - AlmaGBA,"<div>Resolution 67/2025 aims at fostering the contracting of electric energy storage plants, with an estimated investment of USD 500 million and an execution period of between 12 and 18 months.</div>",In force,2025,National,International Energy Agency,2025-02-14,2027,https://www.argentina.gob.ar/noticias/argentina-inicia-modernizacion-electrica-historica-en-amba-y-convoca-las-provincias,,1750778192783,"[{""iso3"":""ARG"",""name"":""Argentina""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Batteries""}]"
Call for tenders - Electrical energy storage systems,"<div>The government of Chile announced the bidding for electric energy storage systems in the north of the country for US$ 2 billion, with the aim to begin operations at the end of 2026.</div>",In force,2026,National,International Energy Agency,2024-04-16,,https://www.gob.cl/noticias/inaguramos-la-planta-la-planta-de-almacenamiento-energetico-mas-grande-de-latinoamerica/,,1772615841688,"[{""iso3"":""CHL"",""name"":""Chile""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Batteries""}]"
Australia NRFC investment commitment in rare earths project,"<div>The National Reconstruction Fund Corporation (NRFC), <a href=""https://www.legislation.gov.au/Details/C2023C00318"">established in 2023</a> by the Australian Government to support seven priority areas of the Australian economy, committed significant funding to Arafura Rare Earths Limited for the development of the Nolans Project:</div><ul><li>Early 2024: The NRFC allocated <strong>AUD 840 million worth of loans and grants</strong> to Arafura Rare Earths.</li><li>15 January 2025: The NRFC committed an additional <strong>AUD 200 million</strong> to Arafura Rare Earths Limited for the development of the Nolans Project.</li></ul><div>The Nolans Project is expected to produce around 4% of the worldâs neodymium and praseodymium (NdPr) demand by 2032, creating over 600 jobs during construction and 350 jobs during steady-state operations. This project will be Australiaâs first ore-to-oxide rare earths processing operation. The project will deliver significant social and economic benefits to the Alice Springs community, including employment opportunities for Indigenous Australians and local small and medium-sized enterprises (SMEs). The NRFCâs investment is part of a broader capital raise to secure additional strategic investors and funding, emphasising the importance of rare earth elements to modern economies and the global supply chain.</div>",In force,2025,National,International Energy Agency,2025-01-15,,https://www.nrf.gov.au/our-investments/arafura-rare-earths-limited-0,,1745591680896,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Public investment"",""category"":null},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":null}]"
Saudi Electricity Company Battery Energy Storage Systems Awards,"<div>Saudi Electricity Company (SEC) awards contracts for 2,500 MW Battery Energy Storage Systems across Saudi Arabia.</div>",In force,2025,National,International Energy Agency,2025-01-08,,https://www.saudigulfprojects.com/2025/01/saudi-arabia-awards-10500mwh-battery-energy-storage-system-contracts/,,1775662640641,"[{""iso3"":""SAU"",""name"":""Saudi Arabia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Batteries""}]"
Finance Law 2025 - Carbon tax,"<div>The 2025 finance law provides for the introduction of a carbon tax in Morocco, set to be implemented in 2026.Â </div>",Announced,2026,National,International Energy Agency,2024-12-26,,https://leseco.ma/business/taxe-carbone-le-maroc-veut-verdir-son-economie-sans-sacrifier-sa-competitivite.html,,1750778203241,"[{""iso3"":""MAR"",""name"":""Morocco""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Buildings"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
 Draft Ministerial Regulation on Excise Tax Rates - carbon pricing on petroleum products,"<div>The government of Thailand introduced a carbon tax of THB 200/t on petroleum products on January 21, 2025.Â </div>",In force,2025,National,International Energy Agency,2025-01-21,,https://www.thaigov.go.th/news/contents/details/92842,,1774272127901,"[{""iso3"":""THA"",""name"":""Thailand""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Buildings"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
