event_id,policy_id,country,policy_name,timeline_year,timeline_lane,policy_type,policy_subtype,risk_level,risk_score,impact_score,relevance_score,timeline_weight,is_stock_constraint,is_future_constraint,catl_risk_dimension,risk_direction,summary_label,hover_text,source_url,url,policy_risk_score_norm
timeline_policy_south_africa_critical_minerals_and_metals_strategy_of_south_africa_2025,policy_south_africa_critical_minerals_and_metals_strategy_of_south_africa_2025,South Africa,Critical Minerals and Metals Strategy of South Africa,2025,出口限制与本地加工,local_processing,local_beneficiation,极高,0.88,0.7,0.9,0.811,False,False,investment_access;project_schedule,restrictive,South Africa｜local_processing｜极高,国家：South Africa<br>政策名称：Critical Minerals and Metals Strategy of South Africa<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.88<br>影响维度：investment_access;project_schedule<br>来源：https://www.gov.za/sites/default/files/gcis_document/202505/critical-minerals-and-metals-strategy-south-africa-2025.pdf,https://www.gov.za/sites/default/files/gcis_document/202505/critical-minerals-and-metals-strategy-south-africa-2025.pdf,https://www.gov.za/sites/default/files/gcis_document/202505/critical-minerals-and-metals-strategy-south-africa-2025.pdf,0.88
timeline_policy_united_states_federal_funding_for_regional_collaboration_on_domestic_critical_minerals_2025,policy_united_states_federal_funding_for_regional_collaboration_on_domestic_critical_minerals_2025,United States,Federal funding for regional collaboration on domestic critical minerals,2025,环保保护与水资源约束,environment_policy,unknown,高,0.78,0.9,0.7,0.796,False,False,project_schedule;policy_compliance,restrictive,United States｜environment_policy｜高,国家：United States<br>政策名称：Federal funding for regional collaboration on domestic critical minerals<br>政策类型：environment_policy<br>生效年份：2025<br>风险等级：高<br>风险分数：0.78<br>影响维度：project_schedule;policy_compliance<br>来源：https://www.energy.gov/fecm/funding-notice-regional-scale-collaboration-facilitate-domestic-critical-minerals-future,https://www.energy.gov/fecm/funding-notice-regional-scale-collaboration-facilitate-domestic-critical-minerals-future,https://www.energy.gov/fecm/funding-notice-regional-scale-collaboration-facilitate-domestic-critical-minerals-future,0.78
timeline_policy_south_africa_export_control_of_chrome_ore_in_south_africa_2025,policy_south_africa_export_control_of_chrome_ore_in_south_africa_2025,South Africa,Export control of chrome ore in South Africa,2025,出口限制与本地加工,export_control,tax_change,极高,1.0,0.9,0.35,0.795,False,False,resource_security,restrictive,South Africa｜export_control｜极高,国家：South Africa<br>政策名称：Export control of chrome ore in South Africa<br>政策类型：export_control<br>生效年份：2025<br>风险等级：极高<br>风险分数：1.00<br>影响维度：resource_security<br>来源：https://dirco.gov.za/statement-on-the-cabinet-meeting-of-25-june-2025/,https://dirco.gov.za/statement-on-the-cabinet-meeting-of-25-june-2025/,https://dirco.gov.za/statement-on-the-cabinet-meeting-of-25-june-2025/,1.0
timeline_policy_united_states_us_thailand_memorandum_of_understanding_concerning_cooperation_to_diversify_global_critical_mineral,policy_united_states_us_thailand_memorandum_of_understanding_concerning_cooperation_to_diversify_global_critical_mineral,United States,US-Thailand Memorandum of Understanding Concerning Cooperation to Diversify Global Critical Minerals Supply Chains and Promote Investments,2025,出口限制与本地加工,local_processing,domestic_processing,极高,0.85,0.7,0.7,0.788,False,False,investment_access;project_schedule,restrictive,United States｜local_processing｜极高,国家：United States<br>政策名称：US-Thailand Memorandum of Understanding Concerning Cooperation to Diversify Global Critical Minerals Supply Chains and Promote Investments<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.85<br>影响维度：investment_access;project_schedule<br>来源：https://www.whitehouse.gov/briefings-statements/2025/10/memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-government-of-the-kingdom-of-thailand-concerning-cooperation-to-diversify-global-critical-minerals-supply-cha/,https://www.whitehouse.gov/briefings-statements/2025/10/memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-government-of-the-kingdom-of-thailand-concerning-cooperation-to-diversify-global-critical-minerals-supply-cha/,https://www.whitehouse.gov/briefings-statements/2025/10/memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-government-of-the-kingdom-of-thailand-concerning-cooperation-to-diversify-global-critical-minerals-supply-cha/,0.85
timeline_policy_people_s_republic_of_china_announcement_no_10_of_2025_of_the_ministry_of_commerce_2025,policy_people_s_republic_of_china_announcement_no_10_of_2025_of_the_ministry_of_commerce_2025,People's Republic of China,Announcement No. 10 of 2025 of the Ministry of Commerce,2025,出口限制与本地加工,export_control,project_license,极高,0.98,0.9,0.35,0.781,False,False,resource_security,restrictive,People's Republic of China｜export_control｜极高,国家：People's Republic of China<br>政策名称：Announcement No. 10 of 2025 of the Ministry of Commerce<br>政策类型：export_control<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.98<br>影响维度：resource_security<br>来源：https://www.mofcom.gov.cn/zfxxgk/gkml/art/2025/art_084ded0609404b2d81c746b31c9a03a6.html,https://www.mofcom.gov.cn/zfxxgk/gkml/art/2025/art_084ded0609404b2d81c746b31c9a03a6.html,https://www.mofcom.gov.cn/zfxxgk/gkml/art/2025/art_084ded0609404b2d81c746b31c9a03a6.html,0.98
timeline_policy_australia_future_made_in_australia_act_2025_2025,policy_australia_future_made_in_australia_act_2025_2025,Australia,Future Made in Australia Act 2025,2025,税费权利金与许可约束,tax_royalty,tax_change,高,0.73,0.9,0.7,0.778,False,False,procurement_cost;valuation_impact,restrictive,Australia｜tax_royalty｜高,国家：Australia<br>政策名称：Future Made in Australia Act 2025<br>政策类型：tax_royalty<br>生效年份：2025<br>风险等级：高<br>风险分数：0.73<br>影响维度：procurement_cost;valuation_impact<br>来源：https://www.legislation.gov.au/C2025A00009/asmade/text,https://www.legislation.gov.au/C2025A00009/asmade/text,https://www.legislation.gov.au/C2025A00009/asmade/text,0.73
timeline_iea_26066_zimbabwe_mining_tax_regime_policy_zimbabwe_amendments_to_zimbabwe_s_mining_tax_regime_2024,iea_26066_zimbabwe_mining_tax_regime_policy_zimbabwe_amendments_to_zimbabwe_s_mining_tax_regime_2024,Zimbabwe,Amendments to Zimbabwe's Mining Tax Regime,2025,税费权利金与许可约束,tax_royalty,royalty_increase,高,0.73,0.7,0.9,0.774,True,False,procurement_cost;valuation_impact,restrictive,Zimbabwe｜tax_royalty｜高,国家：Zimbabwe<br>政策名称：Amendments to Zimbabwe's Mining Tax Regime<br>政策类型：tax_royalty<br>生效年份：2025<br>风险等级：高<br>风险分数：0.73<br>影响维度：procurement_cost;valuation_impact<br>来源：https://www.iea.org/policies/26066-amendments-to-zimbabwes-mining-tax-regime,https://www.iea.org/policies/26066-amendments-to-zimbabwes-mining-tax-regime,https://www.iea.org/policies/26066-amendments-to-zimbabwes-mining-tax-regime,0.73
timeline_policy_brazil_bndes_and_finep_usd_815_million_fund_for_strategic_minerals_projects_2025,policy_brazil_bndes_and_finep_usd_815_million_fund_for_strategic_minerals_projects_2025,Brazil,BNDES and Finep USD 815 million fund for strategic minerals projects,2025,其他政策约束,unknown,unknown,中高,0.61,0.9,0.9,0.77,False,False,policy_compliance,neutral,Brazil｜unknown｜中高,国家：Brazil<br>政策名称：BNDES and Finep USD 815 million fund for strategic minerals projects<br>政策类型：unknown<br>生效年份：2025<br>风险等级：中高<br>风险分数：0.61<br>影响维度：policy_compliance<br>来源：https://www.bndes.gov.br/wps/portal/site/home/desenvolvimento-sustentavel/parcerias/!ut/p/z1/fY5NT8MwDIbv_RW57Bi5-xDjOpAoAiQ0xKHNZfIys3k0cZekFT-fMBUQHHbx-0p-HstgCqWKAuocuYzjO8F4HHiPicVjCzU05mqzXFe396vF9Km6my_K9ctrdfP4PJtez5bwcBZ__a8Ll416NEb8J6Dh4-lkVmCs-EQfCeqt31HcsI-JU2_PH03KgzialHlBfpB2YEc-iY59TLngQBnpMFgKjFHlhkrUP1r9oe0BHe5Qd_22ZYs6BfTxTYJDi6IdewrIUVPMi0R7thKhezfNJ3M_F6k!/,https://www.bndes.gov.br/wps/portal/site/home/desenvolvimento-sustentavel/parcerias/!ut/p/z1/fY5NT8MwDIbv_RW57Bi5-xDjOpAoAiQ0xKHNZfIys3k0cZekFT-fMBUQHHbx-0p-HstgCqWKAuocuYzjO8F4HHiPicVjCzU05mqzXFe396vF9Km6my_K9ctrdfP4PJtez5bwcBZ__a8Ll416NEb8J6Dh4-lkVmCs-EQfCeqt31HcsI-JU2_PH03KgzialHlBfpB2YEc-iY59TLngQBnpMFgKjFHlhkrUP1r9oe0BHe5Qd_22ZYs6BfTxTYJDi6IdewrIUVPMi0R7thKhezfNJ3M_F6k!/,https://www.bndes.gov.br/wps/portal/site/home/desenvolvimento-sustentavel/parcerias/!ut/p/z1/fY5NT8MwDIbv_RW57Bi5-xDjOpAoAiQ0xKHNZfIys3k0cZekFT-fMBUQHHbx-0p-HstgCqWKAuocuYzjO8F4HHiPicVjCzU05mqzXFe396vF9Km6my_K9ctrdfP4PJtez5bwcBZ__a8Ll416NEb8J6Dh4-lkVmCs-EQfCeqt31HcsI-JU2_PH03KgzialHlBfpB2YEc-iY59TLngQBnpMFgKjFHlhkrUP1r9oe0BHe5Qd_22ZYs6BfTxTYJDi6IdewrIUVPMi0R7thKhezfNJ3M_F6k!/,0.61
timeline_policy_united_states_executive_order_on_immediate_measures_to_increase_american_mineral_production_2025,policy_united_states_executive_order_on_immediate_measures_to_increase_american_mineral_production_2025,United States,Executive Order on Immediate Measures to Increase American Mineral Production,2025,税费权利金与许可约束,permitting,project_license,中高,0.68,0.9,0.7,0.751,False,False,project_schedule,restrictive,United States｜permitting｜中高,国家：United States<br>政策名称：Executive Order on Immediate Measures to Increase American Mineral Production<br>政策类型：permitting<br>生效年份：2025<br>风险等级：中高<br>风险分数：0.68<br>影响维度：project_schedule<br>来源：https://www.whitehouse.gov/presidential-actions/2025/03/immediate-measures-to-increase-american-mineral-production/,https://www.whitehouse.gov/presidential-actions/2025/03/immediate-measures-to-increase-american-mineral-production/,https://www.whitehouse.gov/presidential-actions/2025/03/immediate-measures-to-increase-american-mineral-production/,0.68
timeline_policy_united_states_us_australia_framework_for_securing_of_supply_in_the_mining_and_processing_of_critical_minerals_and,policy_united_states_us_australia_framework_for_securing_of_supply_in_the_mining_and_processing_of_critical_minerals_and,United States,US-Australia Framework for Securing of Supply in the Mining and Processing of Critical Minerals and Rare Earths,2025,税费权利金与许可约束,permitting,project_license,中高,0.68,0.9,0.7,0.751,False,False,project_schedule,restrictive,United States｜permitting｜中高,国家：United States<br>政策名称：US-Australia Framework for Securing of Supply in the Mining and Processing of Critical Minerals and Rare Earths<br>政策类型：permitting<br>生效年份：2025<br>风险等级：中高<br>风险分数：0.68<br>影响维度：project_schedule<br>来源：https://www.whitehouse.gov/briefings-statements/2025/10/united-states-australia-framework-for-securing-of-supply-in-the-mining-and-processing-of-critical-minerals-and-rare-earths/,https://www.whitehouse.gov/briefings-statements/2025/10/united-states-australia-framework-for-securing-of-supply-in-the-mining-and-processing-of-critical-minerals-and-rare-earths/,https://www.whitehouse.gov/briefings-statements/2025/10/united-states-australia-framework-for-securing-of-supply-in-the-mining-and-processing-of-critical-minerals-and-rare-earths/,0.68
timeline_policy_australia_us_australia_framework_for_securing_of_supply_in_the_mining_and_processing_of_critical_minerals_and_rar,policy_australia_us_australia_framework_for_securing_of_supply_in_the_mining_and_processing_of_critical_minerals_and_rar,Australia,US-Australia Framework for Securing of Supply in the Mining and Processing of Critical Minerals and Rare Earths,2025,税费权利金与许可约束,permitting,project_license,中高,0.68,0.9,0.7,0.751,False,False,project_schedule,restrictive,Australia｜permitting｜中高,国家：Australia<br>政策名称：US-Australia Framework for Securing of Supply in the Mining and Processing of Critical Minerals and Rare Earths<br>政策类型：permitting<br>生效年份：2025<br>风险等级：中高<br>风险分数：0.68<br>影响维度：project_schedule<br>来源：https://www.whitehouse.gov/briefings-statements/2025/10/united-states-australia-framework-for-securing-of-supply-in-the-mining-and-processing-of-critical-minerals-and-rare-earths/,https://www.whitehouse.gov/briefings-statements/2025/10/united-states-australia-framework-for-securing-of-supply-in-the-mining-and-processing-of-critical-minerals-and-rare-earths/,https://www.whitehouse.gov/briefings-statements/2025/10/united-states-australia-framework-for-securing-of-supply-in-the-mining-and-processing-of-critical-minerals-and-rare-earths/,0.68
timeline_policy_indonesia_government_regulation_8_of_2025_2025,policy_indonesia_government_regulation_8_of_2025_2025,Indonesia,Government Regulation 8 of 2025,2025,税费权利金与许可约束,tax_royalty,tax_change,高,0.73,0.9,0.55,0.744,False,False,procurement_cost;valuation_impact,restrictive,Indonesia｜tax_royalty｜高,国家：Indonesia<br>政策名称：Government Regulation 8 of 2025<br>政策类型：tax_royalty<br>生效年份：2025<br>风险等级：高<br>风险分数：0.73<br>影响维度：procurement_cost;valuation_impact<br>来源：https://peraturan.bpk.go.id/Details/314625/pp-no-8-tahun-2025,https://peraturan.bpk.go.id/Details/314625/pp-no-8-tahun-2025,https://peraturan.bpk.go.id/Details/314625/pp-no-8-tahun-2025,0.73
timeline_policy_european_union_a_competitiveness_compass_for_the_eu_2025,policy_european_union_a_competitiveness_compass_for_the_eu_2025,European Union,A Competitiveness Compass for the EU,2025,出口限制与本地加工,local_processing,export_ban_concentrate,极高,0.9,0.7,0.55,0.74,False,False,investment_access;project_schedule,restrictive,European Union｜local_processing｜极高,国家：European Union<br>政策名称：A Competitiveness Compass for the EU<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.90<br>影响维度：investment_access;project_schedule<br>来源：https://commission.europa.eu/topics/eu-competitiveness/competitiveness-compass_en,https://commission.europa.eu/topics/eu-competitiveness/competitiveness-compass_en,https://commission.europa.eu/topics/eu-competitiveness/competitiveness-compass_en,0.9
timeline_policy_spain_spain_mineral_raw_materials_action_plan_2025_2029_2025,policy_spain_spain_mineral_raw_materials_action_plan_2025_2029_2025,Spain,Spain Mineral Raw Materials Action Plan 2025-2029,2025,环保保护与水资源约束,environment_policy,recycling_support,高,0.73,0.7,0.9,0.734,False,False,project_schedule;policy_compliance,restrictive,Spain｜environment_policy｜高,国家：Spain<br>政策名称：Spain Mineral Raw Materials Action Plan 2025-2029<br>政策类型：environment_policy<br>生效年份：2025<br>风险等级：高<br>风险分数：0.73<br>影响维度：project_schedule;policy_compliance<br>来源：https://www.miteco.gob.es/es/prensa/ultimas-noticias/2025/marzo/el-miteco-lanza-el-plan-de-accion-de-las-materias-primas-mineral.html,https://www.miteco.gob.es/es/prensa/ultimas-noticias/2025/marzo/el-miteco-lanza-el-plan-de-accion-de-las-materias-primas-mineral.html,https://www.miteco.gob.es/es/prensa/ultimas-noticias/2025/marzo/el-miteco-lanza-el-plan-de-accion-de-las-materias-primas-mineral.html,0.73
timeline_policy_european_union_resourceeu_action_plan_2025,policy_european_union_resourceeu_action_plan_2025,European Union,RESourceEU Action Plan,2025,环保保护与水资源约束,environment_policy,foreign_investment_screening,高,0.73,0.9,0.7,0.734,False,False,project_schedule;policy_compliance,restrictive,European Union｜environment_policy｜高,国家：European Union<br>政策名称：RESourceEU Action Plan<br>政策类型：environment_policy<br>生效年份：2025<br>风险等级：高<br>风险分数：0.73<br>影响维度：project_schedule;policy_compliance<br>来源：https://single-market-economy.ec.europa.eu/document/download/01c448d6-dc93-40d7-9afe-4c2af448d00c_en,https://single-market-economy.ec.europa.eu/document/download/01c448d6-dc93-40d7-9afe-4c2af448d00c_en,https://single-market-economy.ec.europa.eu/document/download/01c448d6-dc93-40d7-9afe-4c2af448d00c_en,0.73
timeline_policy_thailand_us_thailand_memorandum_of_understanding_concerning_cooperation_to_diversify_global_critical_minerals_sup,policy_thailand_us_thailand_memorandum_of_understanding_concerning_cooperation_to_diversify_global_critical_minerals_sup,Thailand,US-Thailand Memorandum of Understanding Concerning Cooperation to Diversify Global Critical Minerals Supply Chains and Promote Investments,2025,出口限制与本地加工,local_processing,domestic_processing,高,0.8,0.7,0.7,0.725,False,False,investment_access;project_schedule,restrictive,Thailand｜local_processing｜高,国家：Thailand<br>政策名称：US-Thailand Memorandum of Understanding Concerning Cooperation to Diversify Global Critical Minerals Supply Chains and Promote Investments<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：高<br>风险分数：0.80<br>影响维度：investment_access;project_schedule<br>来源：https://www.whitehouse.gov/briefings-statements/2025/10/memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-government-of-the-kingdom-of-thailand-concerning-cooperation-to-diversify-global-critical-minerals-supply-cha/,https://www.whitehouse.gov/briefings-statements/2025/10/memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-government-of-the-kingdom-of-thailand-concerning-cooperation-to-diversify-global-critical-minerals-supply-cha/,https://www.whitehouse.gov/briefings-statements/2025/10/memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-government-of-the-kingdom-of-thailand-concerning-cooperation-to-diversify-global-critical-minerals-supply-cha/,0.8
timeline_policy_new_zealand_minerals_strategy_for_new_zealand_to_2040_2025,policy_new_zealand_minerals_strategy_for_new_zealand_to_2040_2025,New Zealand,Minerals Strategy for New Zealand to 2040,2025,出口限制与本地加工,local_processing,domestic_processing,高,0.8,0.7,0.7,0.725,False,False,investment_access;project_schedule,restrictive,New Zealand｜local_processing｜高,国家：New Zealand<br>政策名称：Minerals Strategy for New Zealand to 2040<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：高<br>风险分数：0.80<br>影响维度：investment_access;project_schedule<br>来源：https://www.mbie.govt.nz/assets/a-minerals-strategy-for-new-zealand-to-2040.pdf,https://www.mbie.govt.nz/assets/a-minerals-strategy-for-new-zealand-to-2040.pdf,https://www.mbie.govt.nz/assets/a-minerals-strategy-for-new-zealand-to-2040.pdf,0.8
timeline_policy_philippines_enhanced_fiscal_regime_for_large_scale_metallic_mining_2025,policy_philippines_enhanced_fiscal_regime_for_large_scale_metallic_mining_2025,Philippines,Enhanced Fiscal Regime for Large-Scale Metallic Mining,2025,税费权利金与许可约束,tax_royalty,royalty_increase,中高,0.68,0.9,0.65,0.701,False,False,procurement_cost;valuation_impact,restrictive,Philippines｜tax_royalty｜中高,国家：Philippines<br>政策名称：Enhanced Fiscal Regime for Large-Scale Metallic Mining<br>政策类型：tax_royalty<br>生效年份：2025<br>风险等级：中高<br>风险分数：0.68<br>影响维度：procurement_cost;valuation_impact<br>来源：https://www.officialgazette.gov.ph/2025/09/05/republic-act-no-12253/,https://www.officialgazette.gov.ph/2025/09/05/republic-act-no-12253/,https://www.officialgazette.gov.ph/2025/09/05/republic-act-no-12253/,0.68
